rent,size_sqm,district,year,source,price_per_sqm,size_category,rent_category,period
725.0,26.55,Unbekannt,2025,Immobilienscout24,27.306967984934087,Klein (< 30 m²),Günstig (< 800 €),Nach Corona (2023+)
785.0,36.81,Unbekannt,2025,Immobilienscout24,21.325726704699807,Mittel (30-60 m²),Günstig (< 800 €),Nach Corona (2023+)
2.15,60.0,Mitte,2025,Immobilienscout24,0.035833333333333335,Groß (60-100 m²),Günstig (< 800 €),Nach Corona (2023+)
1.435,46.16,Friedrichshain,2025,Immobilienscout24,0.031087521663778168,Mittel (30-60 m²),Günstig (< 800 €),Nach Corona (2023+)
1.125,28.0,Unbekannt,2025,Immobilienscout24,0.04017857142857143,Klein (< 30 m²),Günstig (< 800 €),Nach Corona (2023+)
980.0,24.6,Friedrichshain,2025,Immobilienscout24,39.83739837398374,Klein (< 30 m²),Mittel (800-1200 €),Nach Corona (2023+)
850.0,43.0,Unbekannt,2025,Immobilienscout24,19.767441860465116,Mittel (30-60 m²),Mittel (800-1200 €),Nach Corona (2023+)
1.89,44.0,Tiergarten,2025,Immobilienscout24,0.042954545454545454,Mittel (30-60 m²),Günstig (< 800 €),Nach Corona (2023+)
1.8,53.0,Mitte,2025,Immobilienscout24,0.033962264150943396,Mittel (30-60 m²),Günstig (< 800 €),Nach Corona (2023+)
2.058,147.0,Charlottenburg,2025,Immobilienscout24,0.013999999999999999,Sehr groß (> 100 m²),Günstig (< 800 €),Nach Corona (2023+)
1.385,89.0,Unbekannt,2025,Immobilienscout24,0.01556179775280899,Groß (60-100 m²),Günstig (< 800 €),Nach Corona (2023+)
829.0,31.0,Unbekannt,2025,Immobilienscout24,26.741935483870968,Mittel (30-60 m²),Mittel (800-1200 €),Nach Corona (2023+)
2.41,79.51,Friedrichshain,2025,Immobilienscout24,0.030310652748082003,Groß (60-100 m²),Günstig (< 800 €),Nach Corona (2023+)
995.0,51.0,Mitte,2025,Immobilienscout24,19.50980392156863,Mittel (30-60 m²),Mittel (800-1200 €),Nach Corona (2023+)
996.0,42.0,Unbekannt,2025,Immobilienscout24,23.714285714285715,Mittel (30-60 m²),Mittel (800-1200 €),Nach Corona (2023+)
3.78,125.0,Unbekannt,2025,Immobilienscout24,0.03024,Sehr groß (> 100 m²),Günstig (< 800 €),Nach Corona (2023+)
1.435,65.48,Unbekannt,2025,Immobilienscout24,0.02191508857666463,Groß (60-100 m²),Günstig (< 800 €),Nach Corona (2023+)
1.74,75.47,Unbekannt,2025,Immobilienscout24,0.023055518749171857,Groß (60-100 m²),Günstig (< 800 €),Nach Corona (2023+)
1.342,46.0,Unbekannt,2025,Immobilienscout24,0.029173913043478262,Mittel (30-60 m²),Günstig (< 800 €),Nach Corona (2023+)
2.541,126.62,Mitte,2025,Immobilienscout24,0.020067919759911543,Sehr groß (> 100 m²),Günstig (< 800 €),Nach Corona (2023+)
1.099,68.46,Unbekannt,2025,Immobilienscout24,0.01605316973415133,Groß (60-100 m²),Günstig (< 800 €),Nach Corona (2023+)
1.649,72.18,Prenzlauer Berg,2025,Immobilienscout24,0.022845663618730947,Groß (60-100 m²),Günstig (< 800 €),Nach Corona (2023+)
1.35,58.02,Schöneberg,2025,Immobilienscout24,0.02326783867631851,Mittel (30-60 m²),Günstig (< 800 €),Nach Corona (2023+)
2.8,93.5,Schöneberg,2025,Immobilienscout24,0.029946524064171122,Groß (60-100 m²),Günstig (< 800 €),Nach Corona (2023+)
615.55,28.63,Unbekannt,2025,Immobilienscout24,21.500174641983932,Klein (< 30 m²),Günstig (< 800 €),Nach Corona (2023+)
2.2,80.0,Kreuzberg,2025,Immobilienscout24,0.027500000000000004,Groß (60-100 m²),Günstig (< 800 €),Nach Corona (2023+)
1.056,47.0,Unbekannt,2025,Immobilienscout24,0.02246808510638298,Mittel (30-60 m²),Günstig (< 800 €),Nach Corona (2023+)
1.375,65.43,Köpenick,2025,Immobilienscout24,0.021014825003820875,Groß (60-100 m²),Günstig (< 800 €),Nach Corona (2023+)
768.0,29.47,Unbekannt,2025,Immobilienscout24,26.060400407193757,Klein (< 30 m²),Günstig (< 800 €),Nach Corona (2023+)
1.57,60.94,Unbekannt,2025,Immobilienscout24,0.02576304561864129,Groß (60-100 m²),Günstig (< 800 €),Nach Corona (2023+)
1.64,62.15,Unbekannt,2025,Immobilienscout24,0.026387771520514882,Groß (60-100 m²),Günstig (< 800 €),Nach Corona (2023+)
2.844,107.5,Friedrichshain,2025,Immobilienscout24,0.02645581395348837,Sehr groß (> 100 m²),Günstig (< 800 €),Nach Corona (2023+)
985.0,37.83,Unbekannt,2025,Immobilienscout24,26.037536346814697,Mittel (30-60 m²),Mittel (800-1200 €),Nach Corona (2023+)
570.0,38.0,Unbekannt,2025,Immobilienscout24,15.0,Mittel (30-60 m²),Günstig (< 800 €),Nach Corona (2023+)
3.636,151.5,Wilmersdorf,2025,Immobilienscout24,0.024,Sehr groß (> 100 m²),Günstig (< 800 €),Nach Corona (2023+)
1.499,89.65,Unbekannt,2025,Immobilienscout24,0.01672058003346347,Groß (60-100 m²),Günstig (< 800 €),Nach Corona (2023+)
2.217,97.91,Hellersdorf,2025,Immobilienscout24,0.022643243795322236,Groß (60-100 m²),Günstig (< 800 €),Nach Corona (2023+)
4.2,143.0,Charlottenburg,2025,Immobilienscout24,0.029370629370629373,Sehr groß (> 100 m²),Günstig (< 800 €),Nach Corona (2023+)
960.0,27.79,Unbekannt,2025,Immobilienscout24,34.544800287873336,Klein (< 30 m²),Mittel (800-1200 €),Nach Corona (2023+)
2.45,86.0,Charlottenburg,2025,Immobilienscout24,0.028488372093023257,Groß (60-100 m²),Günstig (< 800 €),Nach Corona (2023+)
1.4,70.0,Charlottenburg,2025,Immobilienscout24,0.02,Groß (60-100 m²),Günstig (< 800 €),Nach Corona (2023+)
1.95,53.0,Unbekannt,2025,Immobilienscout24,0.03679245283018868,Mittel (30-60 m²),Günstig (< 800 €),Nach Corona (2023+)
1.158,77.21,Reinickendorf,2025,Immobilienscout24,0.014998057246470664,Groß (60-100 m²),Günstig (< 800 €),Nach Corona (2023+)
1.1,48.0,Unbekannt,2025,Immobilienscout24,0.02291666666666667,Mittel (30-60 m²),Günstig (< 800 €),Nach Corona (2023+)
1.999,121.39,Köpenick,2025,Immobilienscout24,0.01646758382074306,Sehr groß (> 100 m²),Günstig (< 800 €),Nach Corona (2023+)
1.13,29.0,Unbekannt,2025,Immobilienscout24,0.038965517241379304,Klein (< 30 m²),Günstig (< 800 €),Nach Corona (2023+)
1.79,37.0,Mitte,2025,Immobilienscout24,0.04837837837837838,Mittel (30-60 m²),Günstig (< 800 €),Nach Corona (2023+)
1.85,70.0,Mitte,2025,Immobilienscout24,0.02642857142857143,Groß (60-100 m²),Günstig (< 800 €),Nach Corona (2023+)
3.385,143.29,Unbekannt,2025,Immobilienscout24,0.023623421034266172,Sehr groß (> 100 m²),Günstig (< 800 €),Nach Corona (2023+)
2.25,109.29,Unbekannt,2025,Immobilienscout24,0.020587427944002194,Sehr groß (> 100 m²),Günstig (< 800 €),Nach Corona (2023+)
1.35,67.01,Unbekannt,2025,Immobilienscout24,0.020146246828831517,Groß (60-100 m²),Günstig (< 800 €),Nach Corona (2023+)
1.86,88.37,Unbekannt,2025,Immobilienscout24,0.02104786692316397,Groß (60-100 m²),Günstig (< 800 €),Nach Corona (2023+)
785.0,35.0,Unbekannt,2025,Immobilienscout24,22.428571428571427,Mittel (30-60 m²),Günstig (< 800 €),Nach Corona (2023+)
2.75,130.29,Unbekannt,2025,Immobilienscout24,0.021106761838974596,Sehr groß (> 100 m²),Günstig (< 800 €),Nach Corona (2023+)
1.05,33.44,Unbekannt,2025,Immobilienscout24,0.03139952153110048,Mittel (30-60 m²),Günstig (< 800 €),Nach Corona (2023+)
1.754,95.0,Unbekannt,2025,Immobilienscout24,0.01846315789473684,Groß (60-100 m²),Günstig (< 800 €),Nach Corona (2023+)
1.99,55.0,Tiergarten,2025,Immobilienscout24,0.03618181818181818,Mittel (30-60 m²),Günstig (< 800 €),Nach Corona (2023+)
1.237,50.0,Tempelhof,2025,Immobilienscout24,0.02474,Mittel (30-60 m²),Günstig (< 800 €),Nach Corona (2023+)
1.11,48.03,Köpenick,2025,Immobilienscout24,0.023110555902560902,Mittel (30-60 m²),Günstig (< 800 €),Nach Corona (2023+)
1.649,75.52,Prenzlauer Berg,2025,Immobilienscout24,0.021835275423728814,Groß (60-100 m²),Günstig (< 800 €),Nach Corona (2023+)
2.908,110.67,Friedrichshain,2025,Immobilienscout24,0.026276316978404265,Sehr groß (> 100 m²),Günstig (< 800 €),Nach Corona (2023+)
750.0,24.0,Unbekannt,2025,Immobilienscout24,31.25,Klein (< 30 m²),Günstig (< 800 €),Nach Corona (2023+)
750.0,24.0,Unbekannt,2025,Immobilienscout24,31.25,Klein (< 30 m²),Günstig (< 800 €),Nach Corona (2023+)
630.0,52.0,Unbekannt,2025,Immobilienscout24,12.115384615384615,Mittel (30-60 m²),Günstig (< 800 €),Nach Corona (2023+)
1.961,93.41,Mitte,2025,Immobilienscout24,0.020993469649930416,Groß (60-100 m²),Günstig (< 800 €),Nach Corona (2023+)
3.209,168.23,Prenzlauer Berg,2025,Immobilienscout24,0.01907507578909826,Sehr groß (> 100 m²),Günstig (< 800 €),Nach Corona (2023+)
2.09,68.0,Mitte,2025,Immobilienscout24,0.030735294117647055,Groß (60-100 m²),Günstig (< 800 €),Nach Corona (2023+)
1.099,42.71,Prenzlauer Berg,2025,Immobilienscout24,0.02573167876375556,Mittel (30-60 m²),Günstig (< 800 €),Nach Corona (2023+)
1.499,70.54,Köpenick,2025,Immobilienscout24,0.021250354408846043,Groß (60-100 m²),Günstig (< 800 €),Nach Corona (2023+)
3.149,149.68,Prenzlauer Berg,2025,Immobilienscout24,0.02103821485836451,Sehr groß (> 100 m²),Günstig (< 800 €),Nach Corona (2023+)
4.5,182.0,Charlottenburg,2025,Immobilienscout24,0.024725274725274724,Sehr groß (> 100 m²),Günstig (< 800 €),Nach Corona (2023+)
3.49,208.0,Unbekannt,2025,Immobilienscout24,0.016778846153846155,Sehr groß (> 100 m²),Günstig (< 800 €),Nach Corona (2023+)
680.0,21.0,Unbekannt,2025,Immobilienscout24,32.38095238095238,Klein (< 30 m²),Günstig (< 800 €),Nach Corona (2023+)
1.8,70.9,Unbekannt,2025,Immobilienscout24,0.02538787023977433,Groß (60-100 m²),Günstig (< 800 €),Nach Corona (2023+)
1.84,67.0,Mitte,2025,Immobilienscout24,0.02746268656716418,Groß (60-100 m²),Günstig (< 800 €),Nach Corona (2023+)
1.72,50.14,Schöneberg,2025,Immobilienscout24,0.03430394894295971,Mittel (30-60 m²),Günstig (< 800 €),Nach Corona (2023+)
1.77,86.06,Kreuzberg,2025,Immobilienscout24,0.020567046246804555,Groß (60-100 m²),Günstig (< 800 €),Nach Corona (2023+)
1.09,43.43,Treptow,2025,Immobilienscout24,0.025097858623071612,Mittel (30-60 m²),Günstig (< 800 €),Nach Corona (2023+)
1.14,66.61,Treptow,2025,Immobilienscout24,0.01711454736526047,Groß (60-100 m²),Günstig (< 800 €),Nach Corona (2023+)
1.15,61.0,Treptow,2025,Immobilienscout24,0.01885245901639344,Groß (60-100 m²),Günstig (< 800 €),Nach Corona (2023+)
1.1,62.4,Treptow,2025,Immobilienscout24,0.01762820512820513,Groß (60-100 m²),Günstig (< 800 €),Nach Corona (2023+)
1.88,126.0,Kreuzberg,2025,Immobilienscout24,0.01492063492063492,Sehr groß (> 100 m²),Günstig (< 800 €),Nach Corona (2023+)
1.89,61.0,Tiergarten,2025,Immobilienscout24,0.030983606557377048,Groß (60-100 m²),Günstig (< 800 €),Nach Corona (2023+)
2.649,138.18,Prenzlauer Berg,2025,Immobilienscout24,0.019170646982197132,Sehr groß (> 100 m²),Günstig (< 800 €),Nach Corona (2023+)
847.55,77.46,Unbekannt,2025,Immobilienscout24,10.941776400722954,Groß (60-100 m²),Mittel (800-1200 €),Nach Corona (2023+)
736.95,60.96,Unbekannt,2025,Immobilienscout24,12.089074803149607,Groß (60-100 m²),Günstig (< 800 €),Nach Corona (2023+)
710.0,63.43,Unbekannt,2025,Immobilienscout24,11.193441589153398,Groß (60-100 m²),Günstig (< 800 €),Nach Corona (2023+)
4.99,140.0,Mitte,2025,Immobilienscout24,0.03564285714285714,Sehr groß (> 100 m²),Günstig (< 800 €),Nach Corona (2023+)
1.5,61.5,Pankow,2025,Immobilienscout24,0.024390243902439025,Groß (60-100 m²),Günstig (< 800 €),Nach Corona (2023+)
1.5,71.0,Spandau,2025,Immobilienscout24,0.02112676056338028,Groß (60-100 m²),Günstig (< 800 €),Nach Corona (2023+)
1.399,63.0,Unbekannt,2025,Immobilienscout24,0.022206349206349205,Groß (60-100 m²),Günstig (< 800 €),Nach Corona (2023+)
950.0,27.0,Friedrichshain,2025,Immobilienscout24,35.18518518518518,Klein (< 30 m²),Mittel (800-1200 €),Nach Corona (2023+)
1.49,60.0,Tiergarten,2025,Immobilienscout24,0.024833333333333332,Groß (60-100 m²),Günstig (< 800 €),Nach Corona (2023+)
780.0,43.0,Unbekannt,2025,Immobilienscout24,18.13953488372093,Mittel (30-60 m²),Günstig (< 800 €),Nach Corona (2023+)
908.0,42.45,Unbekannt,2025,Immobilienscout24,21.38987043580683,Mittel (30-60 m²),Mittel (800-1200 €),Nach Corona (2023+)
964.0,30.0,Unbekannt,2025,Immobilienscout24,32.13333333333333,Mittel (30-60 m²),Mittel (800-1200 €),Nach Corona (2023+)
1.05,50.0,Unbekannt,2025,Immobilienscout24,0.021,Mittel (30-60 m²),Günstig (< 800 €),Nach Corona (2023+)
2.518,93.8,Unbekannt,2025,Immobilienscout24,0.026844349680170573,Groß (60-100 m²),Günstig (< 800 €),Nach Corona (2023+)
929.0,29.96,Mitte,2025,Immobilienscout24,31.008010680907876,Klein (< 30 m²),Mittel (800-1200 €),Nach Corona (2023+)
971.83,55.82,Wedding,2025,Immobilienscout24,17.41006807595844,Mittel (30-60 m²),Mittel (800-1200 €),Nach Corona (2023+)
999.64,109.85,Neukölln,2025,Immobilienscout24,9.100045516613564,Sehr groß (> 100 m²),Mittel (800-1200 €),Nach Corona (2023+)
1.799,78.06,Kreuzberg,2025,Immobilienscout24,0.0230463745836536,Groß (60-100 m²),Günstig (< 800 €),Nach Corona (2023+)
2.049,113.06,Wedding,2025,Immobilienscout24,0.018123120467008667,Sehr groß (> 100 m²),Günstig (< 800 €),Nach Corona (2023+)
3.55,189.0,Charlottenburg,2025,Immobilienscout24,0.018783068783068783,Sehr groß (> 100 m²),Günstig (< 800 €),Nach Corona (2023+)
561.44,87.18,Spandau,2025,Immobilienscout24,6.440009176416609,Groß (60-100 m²),Günstig (< 800 €),Nach Corona (2023+)
1.585,111.11,Wedding,2025,Immobilienscout24,0.014265142651426513,Sehr groß (> 100 m²),Günstig (< 800 €),Nach Corona (2023+)
714.38,37.65,Unbekannt,2025,Immobilienscout24,18.974236387782206,Mittel (30-60 m²),Günstig (< 800 €),Nach Corona (2023+)
901.85,78.15,Unbekannt,2025,Immobilienscout24,11.53998720409469,Groß (60-100 m²),Mittel (800-1200 €),Nach Corona (2023+)
1.079,44.79,Unbekannt,2025,Immobilienscout24,0.024090198705068094,Mittel (30-60 m²),Günstig (< 800 €),Nach Corona (2023+)
867.1,119.6,Unbekannt,2025,Immobilienscout24,7.250000000000001,Sehr groß (> 100 m²),Mittel (800-1200 €),Nach Corona (2023+)
2.049,113.07,Wedding,2025,Immobilienscout24,0.018121517643937383,Sehr groß (> 100 m²),Günstig (< 800 €),Nach Corona (2023+)
1.712,116.08,Steglitz,2025,Immobilienscout24,0.014748449345279118,Sehr groß (> 100 m²),Günstig (< 800 €),Nach Corona (2023+)
1.465,60.0,Friedrichshain,2025,Immobilienscout24,0.024416666666666666,Groß (60-100 m²),Günstig (< 800 €),Nach Corona (2023+)
980.0,120.0,Unbekannt,2025,Immobilienscout24,8.166666666666666,Sehr groß (> 100 m²),Mittel (800-1200 €),Nach Corona (2023+)
650.0,37.0,Schöneberg,2025,Immobilienscout24,17.56756756756757,Mittel (30-60 m²),Günstig (< 800 €),Nach Corona (2023+)
1.08,52.85,Unbekannt,2025,Immobilienscout24,0.02043519394512772,Mittel (30-60 m²),Günstig (< 800 €),Nach Corona (2023+)
869.0,71.2,Hohenschönhausen,2025,Immobilienscout24,12.20505617977528,Groß (60-100 m²),Mittel (800-1200 €),Nach Corona (2023+)
689.0,47.54,Hohenschönhausen,2025,Immobilienscout24,14.493058477071939,Mittel (30-60 m²),Günstig (< 800 €),Nach Corona (2023+)
770.87,74.48,Unbekannt,2025,Immobilienscout24,10.350026852846401,Groß (60-100 m²),Günstig (< 800 €),Nach Corona (2023+)
496.9,38.76,Reinickendorf,2025,Immobilienscout24,12.819917440660475,Mittel (30-60 m²),Günstig (< 800 €),Nach Corona (2023+)
