district,Miete_Mittel,Miete_Median,Anzahl,Preis_m²_Mittel,Preis_m²_Median,Größe_Mittel
Grunewald,1919.65,1790.45,75,16.94,17.0,115.12
Gatow,1825.09,2500.0,3,11.72,14.12,140.93
Rummelsburg,1776.02,1614.9,5,14.09,14.0,126.73
Nikolassee,1597.92,1498.0,26,15.39,12.72,107.1
Prenzlauer,1445.1,1305.0,453,17.37,16.49,85.12
Wannsee,1426.21,1377.83,38,13.52,13.61,101.97
Dahlem,1407.75,1250.0,51,15.01,15.25,97.5
Tiergarten,1289.18,1272.0,775,15.64,17.0,83.79
Friedenau,1241.44,1120.0,45,13.19,13.21,92.74
Schmargendorf,1205.34,1115.0,84,14.16,14.01,84.91
