ID,SORTE,PLZ,KALTMIETE,WARMMIETE,NEBENKOSTEN,KAUTION,HEIZUNGSKOSTEN,ZIMMER,PARKPLAETZE,WOHNFLAECHE,BAUJAHR,ZUSTAND,VERfÜGBAR AB,ENERGIEEFFIZIENSKLASSE,ENERGIEBEDARF/kWh/(m²*a),ENERGIEASUWEIS,Etagenheizung,Zentralheizung,Ofenheizung,offener Kamin,Luft-/Wasser-Wärmepumpe,Gas,Öl,Solar,Strom,Holz,Fernwärme,Erdwärme,Pellets,Kohle,Flüssiggas,KfW 55,Niedrigenergie,KfW 40,KfW 60,KfW 70,Neubaustandard,möbliert,teilweise möbliert,Alarmanlage,Garage,Carport,Tiefgarage,Duplex,Stellplatz,Klimaanlage,Sauna,Schwimmbad,See,Berge,Personenaufzug,Lastenaufzug,Keller,Waschraum,Bibliothek,Terrasse,Balkon,Garten,Einbauküche,Dusche,Badewanne,Bad mit Fenster,Gäste-WC,Fliesen,Parkett,Holz/Dielen,Laminat,Teppich,PVC/Linoleum,Stein,Marmor,Doppelboden,Terracotta,Sonstiges
47565378,Souterrainwohnung,13125,860.0,995.0,135.0,2500.0,,3.0,,73.0,,saniert,2022-05-01 00:00:00,Klasse D,117.21,BEDARFSAUSWEIS,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,,,,,,0.0,,,,,,,,,,,,,,1.0,1.0,1.0,0.0,,,,,,,,,,,
47482014,Etagenwohnung,13125,450.28,592.28,69.0,1350.84,,2.0,,48.84,1998.0,,2022-06-15 00:00:00,Klasse D,112.0,VERBRAUCHSAUSWEIS,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,,,,,,,,,,1.0,1.0,1.0,0.0,0.0,,,,,,,,,,,
47553106,Etagenwohnung,13125,739.0,817.0,78.0,2217.0,,2.0,,54.79,,,2022-07-01 00:00:00,Klasse C,78.5,VERBRAUCHSAUSWEIS,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,,,,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,,,,,,,,,,,
47483426,Etagenwohnung,13125,899.0,1110.0,101.0,2697.0,,3.0,,74.49,1997.0,,2022-06-01 00:00:00,Klasse C,77.5,VERBRAUCHSAUSWEIS,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,,,,1.0,0.0,0.0,,,,1.0,1.0,1.0,0.0,0.0,,,,,,,,,,,
47800682,Etagenwohnung,13125,899.0,1110.0,101.0,2697.0,110.0,3.0,,74.49,1997.0,,2022-06-01 00:00:00,Klasse C,77.5,VERBRAUCHSAUSWEIS,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,,,,1.0,0.0,0.0,,,,1.0,1.0,1.0,0.0,0.0,,,,,,,,,,,
47824370,Etagenwohnung,13125,899.0,1129.0,100.0,2697.0,130.0,3.0,,74.06,1997.0,,2022-08-01 00:00:00,Klasse C,85.4,VERBRAUCHSAUSWEIS,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,,,,1.0,0.0,0.0,,,,1.0,1.0,1.0,0.0,0.0,,,,,,,,,,,
47873504,Etagenwohnung,13125,549.0,726.0,86.0,1647.0,91.0,2.0,,60.75,1998.0,saniert,2022-07-15 00:00:00,Klasse C,93.0,VERBRAUCHSAUSWEIS,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,,,,1.0,0.0,0.0,0.0,1.0,0.0,,1.0,1.0,0.0,0.0,,,,,,,,,,,
47878988,Etagenwohnung,13125,619.0,749.0,70.0,1857.0,60.0,2.0,,43.85,1998.0,saniert,2022-07-15 00:00:00,Klasse D,105.0,VERBRAUCHSAUSWEIS,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,,,,1.0,0.0,0.0,,,,1.0,1.0,1.0,0.0,0.0,,,,,,,,,,,
47880555,Etagenwohnung,13125,899.0,1109.0,100.0,2697.0,110.0,3.0,,74.15,1997.0,,2022-07-15 00:00:00,Klasse B,74.5,VERBRAUCHSAUSWEIS,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,,,,1.0,0.0,0.0,,,,,1.0,1.0,0.0,0.0,,,,,,,,,,,
47880323,Etagenwohnung,13125,739.0,936.0,96.0,2217.0,101.0,2.0,,67.87,1996.0,,2022-07-15 00:00:00,Klasse C,83.5,VERBRAUCHSAUSWEIS,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,,,,1.0,0.0,0.0,0.0,1.0,0.0,,1.0,1.0,0.0,0.0,,,,,,,,,,,
