price,size,district,rooms,year,dataset_id,source,wol,plz,ortsteil,bezirk,lat,lon
820.0,77.0,Staaken,3.0,2019,historical,Kaggle/Immobilienscout24,einfach,13591,Spandau,Spandau,52.5333,13.2
808.0,62.63,Weißensee,2.0,2019,historical,Kaggle/Immobilienscout24,,,,,,
1150.0,46.4,Mitte,2.0,2019,historical,Kaggle/Immobilienscout24,einfach,10179,Mitte,Mitte,52.52,13.405
1200.0,67.0,Kreuzberg,2.5,2019,historical,Kaggle/Immobilienscout24,einfach,10999,Kreuzberg,Friedrichshain-Kreuzberg,52.4987,13.403
1338.43,73.54,Tiergarten,2.0,2019,historical,Kaggle/Immobilienscout24,mittel,10787,Tiergarten,Mitte,52.5147,13.3507
1048.0,83.14,Grünau,3.0,2019,historical,Kaggle/Immobilienscout24,mittel,12527,Schmöckwitz,Treptow-Köpenick,52.3667,13.65
435.61,62.23,Marzahn,3.0,2019,historical,Kaggle/Immobilienscout24,einfach,12689,Marzahn,Marzahn-Hellersdorf,52.5333,13.55
910.0,105.92,Köpenick,4.0,2019,historical,Kaggle/Immobilienscout24,einfach,12559,Köpenick,Treptow-Köpenick,52.4333,13.5667
699.0,71.2,Neu,3.0,2019,historical,Kaggle/Immobilienscout24,einfach,13059,Wartenberg,Lichtenberg,52.5667,13.5167
314.78,41.97,Hellersdorf,1.0,2019,historical,Kaggle/Immobilienscout24,mittel,12629,Hellersdorf,Marzahn-Hellersdorf,52.5167,13.5833
2225.0,165.68,Prenzlauer,4.0,2019,historical,Kaggle/Immobilienscout24,mittel,13158,Wilhelmsruh,Pankow,52.5897,13.4186
792.0,88.0,Französisch,3.5,2019,historical,Kaggle/Immobilienscout24,,13127,Französisch Buchholz,Pankow,52.614,13.42
2380.0,140.0,Charlottenburg,3.0,2019,historical,Kaggle/Immobilienscout24,mittel,14059,Charlottenburg,Charlottenburg-Wilmersdorf,52.517,13.3043
1640.6,97.9,Mitte,3.0,2019,historical,Kaggle/Immobilienscout24,einfach,10179,Mitte,Mitte,52.52,13.405
1456.35,97.09,Prenzlauer,3.0,2019,historical,Kaggle/Immobilienscout24,,10439,Prenzlauer Berg,Pankow ,52.5409,13.4134
502.46,62.75,Mariendorf,2.5,2019,historical,Kaggle/Immobilienscout24,einfach,12277,Mariendorf,Tempelhof-Schöneberg,52.4333,13.3833
309.84,35.0,Neukölln,1.0,2019,historical,Kaggle/Immobilienscout24,einfach,12059,Neukölln,Neukölln,52.45,13.4333
1698.64,99.92,Prenzlauer,3.0,2019,historical,Kaggle/Immobilienscout24,,10439,Prenzlauer Berg,Pankow ,52.5409,13.4134
845.0,41.58,Tiergarten,2.0,2019,historical,Kaggle/Immobilienscout24,mittel,10787,Tiergarten,Mitte,52.5147,13.3507
875.0,81.0,Charlottenburg,2.0,2019,historical,Kaggle/Immobilienscout24,mittel,14059,Charlottenburg,Charlottenburg-Wilmersdorf,52.517,13.3043
1247.7,145.0,Schmargendorf,4.5,2019,historical,Kaggle/Immobilienscout24,gut,14199,Schmargendorf,Charlottenburg-Wilmersdorf,52.4667,13.2833
1189.0,82.0,Wedding,3.0,2019,historical,Kaggle/Immobilienscout24,einfach,13351,Wedding,Mitte,52.55,13.365
449.0,47.0,Köpenick,1.0,2019,historical,Kaggle/Immobilienscout24,einfach,12559,Köpenick,Treptow-Köpenick,52.4333,13.5667
1080.0,59.9,Tiergarten,2.0,2019,historical,Kaggle/Immobilienscout24,mittel,10787,Tiergarten,Mitte,52.5147,13.3507
749.0,69.75,Siemensstadt,2.0,2019,historical,Kaggle/Immobilienscout24,einfach,13599,Siemensstadt,Spandau,,
1013.0,68.06,Tiergarten,3.0,2019,historical,Kaggle/Immobilienscout24,mittel,10787,Tiergarten,Mitte,52.5147,13.3507
1720.0,220.0,Britz,4.0,2019,historical,Kaggle/Immobilienscout24,einfach,12359,Britz,Neukölln,52.4167,13.4167
450.0,40.0,Buch,1.5,2019,historical,Kaggle/Immobilienscout24,mittel,13125,Französisch Buchholz,Pankow,52.614,13.42
1253.78,61.16,Friedrichshain,2.0,2019,historical,Kaggle/Immobilienscout24,gut,10243,Friedrichshain,Friedrichshain-Kreuzberg,52.5159,13.4533
