PLZ,Bezirk
10115,Mitte
10117,Mitte
10119,Prenzlauer Berg
10178,Mitte
10179,Mitte
10553,Tiergarten
10555,Tiergarten
10557,Tiergarten
10559,Tiergarten
10785,Schöneberg
10787,Schöneberg
10963,Kreuzberg
13347,Wedding
13349,Wedding
13351,Wedding
13353,Wedding
13355,Wedding
13357,Wedding
13359,Wedding
13405,Reinickendorf
13407,Reinickendorf
13409,Reinickendorf
10243,Friedrichshain
10245,Friedrichshain
10247,Friedrichshain
10249,Friedrichshain
10961,Kreuzberg
10965,Kreuzberg
10967,Kreuzberg
10969,Kreuzberg
10997,Kreuzberg
10999,Kreuzberg
10405,Prenzlauer Berg
10407,Prenzlauer Berg
10409,Prenzlauer Berg
10435,Prenzlauer Berg
10437,Prenzlauer Berg
10439,Prenzlauer Berg
10585,Charlottenburg
10587,Charlottenburg
10589,Charlottenburg
10623,Charlottenburg
10625,Charlottenburg
10627,Charlottenburg
10629,Charlottenburg
14050,Charlottenburg
14052,Charlottenburg
14055,Charlottenburg
14057,Charlottenburg
14059,Charlottenburg
10707,Wilmersdorf
10709,Wilmersdorf
10711,Wilmersdorf
10713,Wilmersdorf
10715,Wilmersdorf
10717,Wilmersdorf
10719,Wilmersdorf
14193,Wilmersdorf
14195,Zehlendorf
14197,Wilmersdorf
14199,Wilmersdorf
10777,Schöneberg
10779,Schöneberg
10781,Schöneberg
10783,Schöneberg
10789,Schöneberg
10823,Schöneberg
10825,Schöneberg
10827,Schöneberg
10829,Schöneberg
12157,Steglitz
12159,Steglitz
12161,Steglitz
12163,Steglitz
12165,Steglitz
12167,Steglitz
12169,Steglitz
14109,Zehlendorf
14129,Zehlendorf
14163,Zehlendorf
14165,Zehlendorf
14167,Zehlendorf
14169,Zehlendorf
12099,Tempelhof
12101,Tempelhof
12103,Tempelhof
12105,Tempelhof
12107,Tempelhof
12109,Tempelhof
12111,Tempelhof
12043,Neukölln
12045,Neukölln
12047,Neukölln
12049,Neukölln
12051,Neukölln
12053,Neukölln
12055,Neukölln
12057,Neukölln
12059,Neukölln
12347,Neukölln
12349,Neukölln
12351,Neukölln
12353,Neukölln
12355,Neukölln
12357,Neukölln
12359,Neukölln
12435,Treptow-Köpenick
12437,Treptow-Köpenick
12439,Treptow-Köpenick
12459,Treptow-Köpenick
12487,Treptow-Köpenick
12489,Treptow-Köpenick
12524,Treptow-Köpenick
12526,Treptow-Köpenick
12527,Treptow-Köpenick
12555,Treptow-Köpenick
12557,Treptow-Köpenick
12559,Treptow-Köpenick
12587,Treptow-Köpenick
12589,Treptow-Köpenick
12623,Marzahn-Hellersdorf
12679,Marzahn-Hellersdorf
12681,Marzahn-Hellersdorf
12683,Marzahn-Hellersdorf
12685,Marzahn-Hellersdorf
12687,Marzahn-Hellersdorf
12689,Marzahn-Hellersdorf
12619,Marzahn-Hellersdorf
12621,Marzahn-Hellersdorf
10315,Lichtenberg
10317,Lichtenberg
10318,Lichtenberg
10319,Lichtenberg
10365,Lichtenberg
10367,Lichtenberg
10369,Lichtenberg
13055,Lichtenberg
13057,Lichtenberg
13059,Lichtenberg
13086,Pankow
13088,Pankow
13089,Pankow
13125,Pankow
13127,Pankow
13129,Pankow
13156,Pankow
13158,Pankow
13159,Pankow
13161,Pankow
13187,Pankow
13189,Pankow
13403,Reinickendorf
13435,Reinickendorf
13437,Reinickendorf
13439,Reinickendorf
13465,Reinickendorf
13467,Reinickendorf
13469,Reinickendorf
13503,Reinickendorf
13505,Reinickendorf
13507,Reinickendorf
13509,Reinickendorf
13591,Spandau
13593,Spandau
13595,Spandau
13597,Spandau
13599,Spandau
13581,Spandau
13583,Spandau
13585,Spandau
13587,Spandau
13589,Spandau
13629,Spandau
13631,Spandau
13633,Spandau
13635,Spandau
13637,Spandau
13639,Spandau
14089,Spandau
14641,Spandau
14669,Spandau
