PLZ,Ortsteil,Bezirk,Lat,Lon,Entries,Ortsteile_Count
10115,Mitte,Mitte,52.52,13.405,1523,1
10117,Mitte,Mitte,52.52,13.405,1966,1
10119,Mitte,Mitte,52.52,13.405,1176,1
10178,Mitte,Mitte,52.52,13.405,742,1
10179,Mitte,Mitte,52.52,13.405,2458,1
10243,Friedrichshain,Friedrichshain-Kreuzberg,52.5159,13.4533,1179,1
10245,Friedrichshain,Friedrichshain-Kreuzberg,52.5159,13.4533,1637,1
10247,Friedrichshain,Friedrichshain-Kreuzberg,52.5159,13.4533,1833,1
10249,Friedrichshain,Friedrichshain-Kreuzberg,52.5159,13.4533,2118,2
10315,Friedrichsfelde,Lichtenberg,52.5,13.5167,1666,1
10317,Rummelsburg,Lichtenberg,52.5,13.4667,2003,1
10318,Karlshorst,Lichtenberg,52.4833,13.5333,4794,1
10319,Friedrichsfelde,Lichtenberg,52.5,13.5167,978,1
10365,Fennpfuhl,Lichtenberg,52.5333,13.4833,3922,2
10367,Fennpfuhl,Lichtenberg,52.5333,13.4833,809,1
10369,Lichtenberg,Lichtenberg,52.5167,13.5,618,1
10405,Prenzlauer Berg,Pankow ,52.5409,13.4134,1191,1
10407,Prenzlauer Berg,Pankow ,52.5409,13.4134,1474,1
10409,Prenzlauer Berg,Pankow ,52.5409,13.4134,2356,2
10435,Prenzlauer Berg,Pankow ,52.5409,13.4134,808,1
10437,Prenzlauer Berg,Pankow ,52.5409,13.4134,1086,1
10439,Prenzlauer Berg,Pankow ,52.5409,13.4134,1197,1
10551,Moabit,Mitte,52.528,13.343,712,1
10553,Moabit,Mitte,52.528,13.343,906,2
10555,Moabit,Mitte,52.528,13.343,667,1
10557,Moabit,Mitte,52.528,13.343,3453,3
10559,Moabit,Mitte,52.528,13.343,670,1
10585,Charlottenburg,Charlottenburg-Wilmersdorf,52.517,13.3043,728,1
10587,Charlottenburg,Charlottenburg-Wilmersdorf,52.517,13.3043,723,1
10589,Charlottenburg,Charlottenburg-Wilmersdorf,52.517,13.3043,807,1
10623,Charlottenburg,Charlottenburg-Wilmersdorf,52.517,13.3043,552,1
10625,Charlottenburg,Charlottenburg-Wilmersdorf,52.517,13.3043,473,1
10627,Charlottenburg,Charlottenburg-Wilmersdorf,52.517,13.3043,540,1
10629,Charlottenburg,Charlottenburg-Wilmersdorf,52.517,13.3043,518,1
