PLZ,Ortsteil,Bezirk,Lat,Lon
10115,Mitte,Mitte,52.52,13.405
10117,Mitte,Mitte,52.52,13.405
10119,Mitte,Mitte,52.52,13.405
10178,Mitte,Mitte,52.52,13.405
10179,Mitte,Mitte,52.52,13.405
10243,Friedrichshain,Friedrichshain-Kreuzberg,52.5159,13.4533
10245,Friedrichshain,Friedrichshain-Kreuzberg,52.5159,13.4533
10247,Friedrichshain,Friedrichshain-Kreuzberg,52.5159,13.4533
10249,Friedrichshain,Friedrichshain-Kreuzberg,52.5159,13.4533
10315,Friedrichsfelde,Lichtenberg,52.5,13.5167
10317,Rummelsburg,Lichtenberg,52.5,13.4667
10318,Karlshorst,Lichtenberg,52.4833,13.5333
10319,Friedrichsfelde,Lichtenberg,52.5,13.5167
10365,Fennpfuhl,Lichtenberg,52.5333,13.4833
10367,Fennpfuhl,Lichtenberg,52.5333,13.4833
10369,Lichtenberg,Lichtenberg,52.5167,13.5
10405,Prenzlauer Berg,Pankow ,52.5409,13.4134
10407,Prenzlauer Berg,Pankow ,52.5409,13.4134
10409,Prenzlauer Berg,Pankow ,52.5409,13.4134
10435,Prenzlauer Berg,Pankow ,52.5409,13.4134
10437,Prenzlauer Berg,Pankow ,52.5409,13.4134
10439,Prenzlauer Berg,Pankow ,52.5409,13.4134
10551,Moabit,Mitte,52.528,13.343
10553,Moabit,Mitte,52.528,13.343
10555,Moabit,Mitte,52.528,13.343
10557,Moabit,Mitte,52.528,13.343
10559,Moabit,Mitte,52.528,13.343
10585,Charlottenburg,Charlottenburg-Wilmersdorf,52.517,13.3043
10587,Charlottenburg,Charlottenburg-Wilmersdorf,52.517,13.3043
10589,Charlottenburg,Charlottenburg-Wilmersdorf,52.517,13.3043
10623,Charlottenburg,Charlottenburg-Wilmersdorf,52.517,13.3043
10625,Charlottenburg,Charlottenburg-Wilmersdorf,52.517,13.3043
10627,Charlottenburg,Charlottenburg-Wilmersdorf,52.517,13.3043
10629,Charlottenburg,Charlottenburg-Wilmersdorf,52.517,13.3043
10707,Wilmersdorf,Charlottenburg-Wilmersdorf,52.4867,13.3189
10709,Wilmersdorf,Charlottenburg-Wilmersdorf,52.4867,13.3189
10711,Grunewald,Charlottenburg-Wilmersdorf,52.4833,13.2667
10713,Halensee,Charlottenburg-Wilmersdorf,52.4958,13.3056
10715,Wilmersdorf,Charlottenburg-Wilmersdorf,52.4867,13.3189
10717,Wilmersdorf,Charlottenburg-Wilmersdorf,52.4867,13.3189
10719,Charlottenburg,Charlottenburg-Wilmersdorf,52.517,13.3043
10777,Wilmersdorf,Charlottenburg-Wilmersdorf,52.4867,13.3189
10779,Wilmersdorf,Tempelhof-Schöneberg,52.4867,13.3189
10781,Schöneberg,Tempelhof-Schöneberg,52.4833,13.35
10783,Schöneberg,Tempelhof-Schöneberg,52.4833,13.35
10785,Tiergarten,Mitte,52.5147,13.3507
10787,Tiergarten,Mitte,52.5147,13.3507
10789,Wilmersdorf,Charlottenburg-Wilmersdorf,52.4867,13.3189
10823,Schöneberg,Tempelhof-Schöneberg,52.4833,13.35
10825,Schöneberg,Tempelhof-Schöneberg,52.4833,13.35
10827,Schöneberg,Tempelhof-Schöneberg,52.4833,13.35
10829,Schöneberg,Tempelhof-Schöneberg,52.4833,13.35
10961,Kreuzberg,Friedrichshain-Kreuzberg,52.4987,13.403
10963,Kreuzberg,Friedrichshain-Kreuzberg,52.4987,13.403
10965,Neukölln,Neukölln,52.45,13.4333
10967,Kreuzberg,Friedrichshain-Kreuzberg,52.4987,13.403
10969,Kreuzberg,Friedrichshain-Kreuzberg,52.4987,13.403
10997,Kreuzberg,Friedrichshain-Kreuzberg,52.4987,13.403
10999,Kreuzberg,Friedrichshain-Kreuzberg,52.4987,13.403
12043,Neukölln,Neukölln,52.45,13.4333
12045,Neukölln,Neukölln,52.45,13.4333
12047,Neukölln,Neukölln,52.45,13.4333
12049,Neukölln,Neukölln,52.45,13.4333
12051,Neukölln,Neukölln,52.45,13.4333
12053,Neukölln,Neukölln,52.45,13.4333
12055,Neukölln,Neukölln,52.45,13.4333
12057,Neukölln,Neukölln,52.45,13.4333
12059,Neukölln,Neukölln,52.45,13.4333
12099,Tempelhof,Tempelhof-Schöneberg,52.45,13.3833
12101,Tempelhof,Tempelhof-Schöneberg,52.45,13.3833
12103,Schöneberg,Tempelhof-Schöneberg,52.4833,13.35
12105,Schöneberg,Tempelhof-Schöneberg,52.4833,13.35
12107,Mariendorf,Tempelhof-Schöneberg,52.4333,13.3833
12109,Mariendorf,Tempelhof-Schöneberg,52.4333,13.3833
12157,Steglitz,Steglitz-Zehlendorf,52.45,13.3167
12159,Schöneberg,Tempelhof-Schöneberg,52.4833,13.35
12161,Friedenau,Tempelhof-Schöneberg,52.4667,13.3333
12163,Steglitz,Steglitz-Zehlendorf,52.45,13.3167
12165,Lichterfelde,Steglitz-Zehlendorf,52.4333,13.3
12167,Steglitz,Steglitz-Zehlendorf,52.45,13.3167
12169,Steglitz,Steglitz-Zehlendorf,52.45,13.3167
12203,Lichterfelde,Steglitz-Zehlendorf,52.4333,13.3
12205,Lichterfelde,Steglitz-Zehlendorf,52.4333,13.3
