price,size,district,rooms,year,dataset_id,source,street,floor,typeOfFlat,yearConstructed,totalRent,plz
820.0,77.0,Staaken,3.0,2019,historical,Kaggle/Immobilienscout24,Metropolitan Park,0.0,ground_floor,,1140.0,13591
808.0,62.63,Weißensee,2.0,2019,historical,Kaggle/Immobilienscout24,B&ouml;rnestra&szlig;e,0.0,ground_floor,1918.0,955.0,
1150.0,46.4,Mitte,2.0,2019,historical,Kaggle/Immobilienscout24,Stallschreiberstra&szlig;e,3.0,apartment,2019.0,1300.0,10409
1200.0,67.0,Kreuzberg,2.5,2019,historical,Kaggle/Immobilienscout24,Hallesche Stra&szlig;e,6.0,apartment,2017.0,1428.78,10967
1338.43,73.54,Tiergarten,2.0,2019,historical,Kaggle/Immobilienscout24,Heidestra&szlig;e,0.0,ground_floor,2019.0,1559.05,10785
1048.0,83.14,Grünau,3.0,2019,historical,Kaggle/Immobilienscout24,Waldkiefernring,1.0,apartment,2014.0,1280.0,12527
435.61,62.23,Marzahn,3.0,2019,historical,Kaggle/Immobilienscout24,B&auml;rensteinstr.,16.0,apartment,1980.0,656.72,12687
910.0,105.92,Köpenick,4.0,2019,historical,Kaggle/Immobilienscout24,Gr&uuml;nauer Str.,1.0,maisonette,1870.0,,12557
699.0,71.2,Neu,3.0,2019,historical,Kaggle/Immobilienscout24,Falkenberger Chaussee,4.0,apartment,1984.0,861.0,13059
314.78,41.97,Hellersdorf,1.0,2019,historical,Kaggle/Immobilienscout24,Luckenwalder Str.,2.0,apartment,1988.0,415.51,12629
2225.0,165.68,Prenzlauer,4.0,2019,historical,Kaggle/Immobilienscout24,Kastanienallee,6.0,roof_storey,1910.0,2565.0,13158
792.0,88.0,Französisch,3.5,2019,historical,Kaggle/Immobilienscout24,no_information,1.0,apartment,1890.0,1125.0,13127
2380.0,140.0,Charlottenburg,3.0,2019,historical,Kaggle/Immobilienscout24,no_information,6.0,penthouse,2018.0,2830.0,10629
1640.6,97.9,Mitte,3.0,2019,historical,Kaggle/Immobilienscout24,Chausseestra&szlig;e,4.0,apartment,2017.0,1893.09,10409
1456.35,97.09,Prenzlauer,3.0,2019,historical,Kaggle/Immobilienscout24,Sch&ouml;nhauser Allee,2.0,apartment,1900.0,1747.63,10439
502.46,62.75,Mariendorf,2.5,2019,historical,Kaggle/Immobilienscout24,Gersdorfstr.,0.0,raised_ground_floor,1927.0,618.21,12107
309.84,35.0,Neukölln,1.0,2019,historical,Kaggle/Immobilienscout24,Weserstr.,1.0,apartment,1900.0,399.84,12045
1698.64,99.92,Prenzlauer,3.0,2019,historical,Kaggle/Immobilienscout24,Oderberger Stra&szlig;e,5.0,maisonette,,2018.38,10439
845.0,41.58,Tiergarten,2.0,2019,historical,Kaggle/Immobilienscout24,Spenerstra&szlig;e,6.0,apartment,1975.0,1000.0,10785
875.0,81.0,Charlottenburg,2.0,2019,historical,Kaggle/Immobilienscout24,no_information,1.0,apartment,1990.0,1125.0,10629
1247.7,145.0,Schmargendorf,4.5,2019,historical,Kaggle/Immobilienscout24,Hohenzollerndamm,0.0,ground_floor,1910.0,1567.7,14199
1189.0,82.0,Wedding,3.0,2019,historical,Kaggle/Immobilienscout24,Burgsdorfstra&szlig;e,2.0,apartment,,1399.0,13349
449.0,47.0,Köpenick,1.0,2019,historical,Kaggle/Immobilienscout24,Salvador-Allende-Str.,2.0,apartment,1997.0,549.0,12557
1080.0,59.9,Tiergarten,2.0,2019,historical,Kaggle/Immobilienscout24,"Gabriele-Tergit-Promenade 59,9",11.0,terraced_flat,2018.0,1289.65,10785
749.0,69.75,Siemensstadt,2.0,2019,historical,Kaggle/Immobilienscout24,Wattstra&szlig;e,4.0,apartment,1990.0,989.0,13629
1013.0,68.06,Tiergarten,3.0,2019,historical,Kaggle/Immobilienscout24,Wilhelmshavener Stra&szlig;e,,apartment,1959.0,1299.0,10785
1720.0,220.0,Britz,4.0,2019,historical,Kaggle/Immobilienscout24,Franz-K&ouml;rner-Stra&szlig;e,,roof_storey,1998.0,2500.0,12351
450.0,40.0,Buch,1.5,2019,historical,Kaggle/Immobilienscout24,R&ouml;bellweg,2.0,other,,604.0,13125
