price,size,district,rooms,year,dataset_id,source,plz,warmmiete,nebenkosten,kaution,baujahr,zustand,energieeffiziensklasse,ausstattung_möbliert,ausstattung_balkon,ausstattung_terrasse,ausstattung_garten,ausstattung_einbauküche,ausstattung_garage,ausstattung_stellplatz,ausstattung_personenaufzug,ausstattung_keller,wol,ortsteil_neu
860.0,73.0,Pankow,3.0,2022,current,Springer/Immowelt/Immonet,13125,995.0,135.0,2500.0,,saniert,Klasse D,,,,,,,,,,mittel,Französisch Buchholz
450.28,48.84,Pankow,2.0,2022,current,Springer/Immowelt/Immonet,13125,592.28,69.0,1350.84,1998.0,,Klasse D,,,,,1.0,,,,,mittel,Französisch Buchholz
739.0,54.79,Pankow,2.0,2022,current,Springer/Immowelt/Immonet,13125,817.0,78.0,2217.0,,,Klasse C,,1.0,0.0,0.0,1.0,,,,1.0,mittel,Französisch Buchholz
899.0,74.49,Pankow,3.0,2022,current,Springer/Immowelt/Immonet,13125,1110.0,101.0,2697.0,1997.0,,Klasse C,,,,,1.0,,,,1.0,mittel,Französisch Buchholz
899.0,74.49,Pankow,3.0,2022,current,Springer/Immowelt/Immonet,13125,1110.0,101.0,2697.0,1997.0,,Klasse C,,,,,1.0,,,,1.0,mittel,Französisch Buchholz
899.0,74.06,Pankow,3.0,2022,current,Springer/Immowelt/Immonet,13125,1129.0,100.0,2697.0,1997.0,,Klasse C,,,,,1.0,,,,1.0,mittel,Französisch Buchholz
549.0,60.75,Pankow,2.0,2022,current,Springer/Immowelt/Immonet,13125,726.0,86.0,1647.0,1998.0,saniert,Klasse C,,1.0,0.0,0.0,,,,,1.0,mittel,Französisch Buchholz
619.0,43.85,Pankow,2.0,2022,current,Springer/Immowelt/Immonet,13125,749.0,70.0,1857.0,1998.0,saniert,Klasse D,,,,,1.0,,,,1.0,mittel,Französisch Buchholz
899.0,74.15,Pankow,3.0,2022,current,Springer/Immowelt/Immonet,13125,1109.0,100.0,2697.0,1997.0,,Klasse B,,,,,,,,,1.0,mittel,Französisch Buchholz
739.0,67.87,Pankow,2.0,2022,current,Springer/Immowelt/Immonet,13125,936.0,96.0,2217.0,1996.0,,Klasse C,,1.0,0.0,0.0,,,,,1.0,mittel,Französisch Buchholz
949.0,74.83,Pankow,3.0,2022,current,Springer/Immowelt/Immonet,13125,1173.0,142.0,2847.0,1998.0,,Klasse D,,1.0,0.0,0.0,1.0,,,,1.0,mittel,Französisch Buchholz
619.0,68.77,Pankow,3.0,2022,current,Springer/Immowelt/Immonet,13125,826.0,131.0,1857.0,1998.0,saniert,Klasse D,,1.0,0.0,0.0,1.0,,,,1.0,mittel,Französisch Buchholz
619.0,43.0,Pankow,2.0,2022,current,Springer/Immowelt/Immonet,13125,741.0,58.0,1857.0,1997.0,,Klasse B,,,,,,,,,1.0,mittel,Französisch Buchholz
649.0,49.94,Pankow,2.0,2022,current,Springer/Immowelt/Immonet,13125,794.0,71.0,1947.0,1996.0,,Klasse D,,,,,,,,,1.0,mittel,Französisch Buchholz
746.79,84.78,Pankow,4.0,2022,current,Springer/Immowelt/Immonet,13125,1013.79,175.0,2240.37,1998.0,saniert,Klasse D,,1.0,0.0,0.0,,,,,1.0,mittel,Französisch Buchholz
899.0,74.58,Pankow,3.0,2022,current,Springer/Immowelt/Immonet,13125,1159.0,115.0,2697.0,1996.0,,Klasse C,,,,,1.0,,,,1.0,mittel,Französisch Buchholz
719.01,82.61,Pankow,4.0,2022,current,Springer/Immowelt/Immonet,13125,1019.01,170.0,2157.03,1998.0,,Klasse C,,1.0,0.0,0.0,1.0,,,,1.0,mittel,Französisch Buchholz
783.21,87.42,Pankow,4.0,2022,current,Springer/Immowelt/Immonet,13125,1045.21,166.0,2349.63,1998.0,,Klasse C,,1.0,0.0,0.0,1.0,,,,1.0,mittel,Französisch Buchholz
639.0,42.9,Pankow,2.0,2022,current,Springer/Immowelt/Immonet,13125,761.0,58.0,1917.0,1997.0,,Klasse B,,1.0,0.0,0.0,1.0,,,,1.0,mittel,Französisch Buchholz
979.0,73.52,Pankow,3.0,2022,current,Springer/Immowelt/Immonet,13125,1200.0,140.0,2937.0,1998.0,,Klasse D,,1.0,0.0,0.0,1.0,,,,1.0,mittel,Französisch Buchholz
1499.0,106.23,Pankow,3.0,2022,current,Springer/Immowelt/Immonet,13125,1799.0,185.0,,2019.0,,Klasse B,,1.0,0.0,0.0,1.0,,,,1.0,mittel,Französisch Buchholz
409.0,44.03,Pankow,2.0,2022,current,Springer/Immowelt/Immonet,13125,548.0,63.0,1227.0,1998.0,,Klasse D,,1.0,0.0,0.0,1.0,,,,1.0,mittel,Französisch Buchholz
860.0,73.0,Pankow,3.0,2022,current,Springer/Immowelt/Immonet,13125,995.0,135.0,2500.0,,saniert,Klasse D,,,,,,,,,,mittel,Französisch Buchholz
