title,price,size,address,link,is_split_from_multi,original_multi_count
199 Neubau-Wohnungen von 1 bis 4 Zimmern in einem der grünsten Stadtteile Berlins (Unit 1/6),1345.0,69.69,"Biedenkopfer Straße 46-54, 13507 Berlin",https://www.immobilienscout24.dehttps://www.immobilienscout24.de/neubau/comood-gmbh/mytegel/126307.html,True,6.0
199 Neubau-Wohnungen von 1 bis 4 Zimmern in einem der grünsten Stadtteile Berlins (Unit 2/6),1345.0,69.69,"Biedenkopfer Straße 46-54, 13507 Berlin",https://www.immobilienscout24.dehttps://www.immobilienscout24.de/neubau/comood-gmbh/mytegel/126307.html,True,6.0
199 Neubau-Wohnungen von 1 bis 4 Zimmern in einem der grünsten Stadtteile Berlins (Unit 3/6),1345.0,69.69,"Biedenkopfer Straße 46-54, 13507 Berlin",https://www.immobilienscout24.dehttps://www.immobilienscout24.de/neubau/comood-gmbh/mytegel/126307.html,True,6.0
199 Neubau-Wohnungen von 1 bis 4 Zimmern in einem der grünsten Stadtteile Berlins (Unit 4/6),1345.0,69.69,"Biedenkopfer Straße 46-54, 13507 Berlin",https://www.immobilienscout24.dehttps://www.immobilienscout24.de/neubau/comood-gmbh/mytegel/126307.html,True,6.0
199 Neubau-Wohnungen von 1 bis 4 Zimmern in einem der grünsten Stadtteile Berlins (Unit 5/6),1345.0,69.69,"Biedenkopfer Straße 46-54, 13507 Berlin",https://www.immobilienscout24.dehttps://www.immobilienscout24.de/neubau/comood-gmbh/mytegel/126307.html,True,6.0
199 Neubau-Wohnungen von 1 bis 4 Zimmern in einem der grünsten Stadtteile Berlins (Unit 6/6),1345.0,69.69,"Biedenkopfer Straße 46-54, 13507 Berlin",https://www.immobilienscout24.dehttps://www.immobilienscout24.de/neubau/comood-gmbh/mytegel/126307.html,True,6.0
"Naturnah wohnen, Urbanität genießen! (Unit 1/2)",1365.0,83.1,"Seegefelder Straße 150, 14612 Falkensee",https://www.immobilienscout24.dehttps://www.immobilienscout24.de/neubau/comood-gmbh/nine-west-living/127713.html,True,2.0
"Naturnah wohnen, Urbanität genießen! (Unit 2/2)",1365.0,83.1,"Seegefelder Straße 150, 14612 Falkensee",https://www.immobilienscout24.dehttps://www.immobilienscout24.de/neubau/comood-gmbh/nine-west-living/127713.html,True,2.0
Wunderschönes Studio Loft im JOUX AM TACHELES *** ERSTBEZUG ***,2.15,60.0,"Johannisplatz 5, Mitte (Ortsteil), Berlin",https://www.immobilienscout24.de/expose/159926423,,
Neubau Erstbezug * 2 Zimmer Wohnung im 3.OG * Balkon * Einbauküche,1435.65,46.16,"Pufendorfstraße 3A-3E, Friedrichshain, Berlin",https://www.immobilienscout24.de/expose/159359666,,
Möblierte Wohnungen in Berlin-Charlottenburg (Unit 1/4),1336.0,32.34,"Warburgzeile 1, 10585 Berlin",https://www.immobilienscout24.dehttps://www.immobilienscout24.de/neubau/international-campus-gmbh/havens-living-berlin/136905.html,True,4.0
Möblierte Wohnungen in Berlin-Charlottenburg (Unit 2/4),1336.0,32.34,"Warburgzeile 1, 10585 Berlin",https://www.immobilienscout24.dehttps://www.immobilienscout24.de/neubau/international-campus-gmbh/havens-living-berlin/136905.html,True,4.0
Möblierte Wohnungen in Berlin-Charlottenburg (Unit 3/4),1336.0,32.34,"Warburgzeile 1, 10585 Berlin",https://www.immobilienscout24.dehttps://www.immobilienscout24.de/neubau/international-campus-gmbh/havens-living-berlin/136905.html,True,4.0
Möblierte Wohnungen in Berlin-Charlottenburg (Unit 4/4),1336.0,32.34,"Warburgzeile 1, 10585 Berlin",https://www.immobilienscout24.dehttps://www.immobilienscout24.de/neubau/international-campus-gmbh/havens-living-berlin/136905.html,True,4.0
LAIKA AM TACHELES: Erstklassiges Wohnerlebnis in Bestlage (Unit 1/7),3450.0,78.0,"Johannisplatz 3, 10117 Berlin",https://www.immobilienscout24.dehttps://www.immobilienscout24.de/neubau/laika-am-tacheles-gmbh-co-kg/laika-am-tacheles/137883.html,True,7.0
