regio3,street,livingSpace,baseRent,totalRent,noRooms,floor,typeOfFlat,yearConstructed
Staaken_Spandau,Metropolitan Park,77.0,820.0,1140.0,3.0,0.0,ground_floor,
Weißensee,B&ouml;rnestra&szlig;e,62.63,808.0,955.0,2.0,0.0,ground_floor,1918.0
Mitte,Stallschreiberstra&szlig;e,46.4,1150.0,1300.0,2.0,3.0,apartment,2019.0
Kreuzberg,Hallesche Stra&szlig;e,67.0,1200.0,1428.78,2.5,6.0,apartment,2017.0
Tiergarten,Heidestra&szlig;e,73.54,1338.43,1559.05,2.0,0.0,ground_floor,2019.0
Grünau_Köpenick,Waldkiefernring,83.14,1048.0,1280.0,3.0,1.0,apartment,2014.0
Marzahn,B&auml;rensteinstr.,62.23,435.61,656.72,3.0,16.0,apartment,1980.0
Köpenick,Gr&uuml;nauer Str.,105.92,910.0,,4.0,1.0,maisonette,1870.0
Neu_Hohenschönhausen_Hohenschönhausen,Falkenberger Chaussee,71.2,699.0,861.0,3.0,4.0,apartment,1984.0
Hellersdorf,Luckenwalder Str.,41.97,314.78,415.51,1.0,2.0,apartment,1988.0
Prenzlauer_Berg_Prenzlauer_Berg,Kastanienallee,165.68,2225.0,2565.0,4.0,6.0,roof_storey,1910.0
Französisch_Buchholz_Pankow,no_information,88.0,792.0,1125.0,3.5,1.0,apartment,1890.0
Charlottenburg,no_information,140.0,2380.0,2830.0,3.0,6.0,penthouse,2018.0
Mitte,Chausseestra&szlig;e,97.9,1640.6,1893.09,3.0,4.0,apartment,2017.0
Prenzlauer_Berg_Prenzlauer_Berg,Sch&ouml;nhauser Allee,97.09,1456.35,1747.63,3.0,2.0,apartment,1900.0
Mariendorf_Tempelhof,Gersdorfstr.,62.75,502.46,618.21,2.5,0.0,raised_ground_floor,1927.0
Neukölln,Weserstr.,35.0,309.84,399.84,1.0,1.0,apartment,1900.0
Prenzlauer_Berg_Prenzlauer_Berg,Oderberger Stra&szlig;e,99.92,1698.64,2018.38,3.0,5.0,maisonette,
Tiergarten,Spenerstra&szlig;e,41.58,845.0,1000.0,2.0,6.0,apartment,1975.0
Charlottenburg,no_information,81.0,875.0,1125.0,2.0,1.0,apartment,1990.0
Schmargendorf_Wilmersdorf,Hohenzollerndamm,145.0,1247.7,1567.7,4.5,0.0,ground_floor,1910.0
Wedding,Burgsdorfstra&szlig;e,82.0,1189.0,1399.0,3.0,2.0,apartment,
Köpenick,Salvador-Allende-Str.,47.0,449.0,549.0,1.0,2.0,apartment,1997.0
Tiergarten,"Gabriele-Tergit-Promenade 59,9",59.9,1080.0,1289.65,2.0,11.0,terraced_flat,2018.0
Siemensstadt_Spandau,Wattstra&szlig;e,69.75,749.0,989.0,2.0,4.0,apartment,1990.0
Tiergarten,Wilhelmshavener Stra&szlig;e,68.06,1013.0,1299.0,3.0,,apartment,1959.0
Britz_Neukölln,Franz-K&ouml;rner-Stra&szlig;e,220.0,1720.0,2500.0,4.0,,roof_storey,1998.0
Buch_Pankow,R&ouml;bellweg,40.0,450.0,604.0,1.5,2.0,other,
Friedrichshain,Stralauer Platz,61.16,1253.78,1406.68,2.0,8.0,apartment,
Karow_Weißensee,Forkenzeile,68.75,636.01,822.97,3.0,3.0,apartment,1997.0
Mitte,Pflugstra&szlig;e,49.39,1150.0,1300.0,2.0,3.0,apartment,1958.0
Friedrichshain,no_information,111.0,1500.0,1766.0,3.0,5.0,roof_storey,1914.0
Wilmersdorf,Westf&auml;lische Str.,36.08,430.0,545.0,1.0,3.0,,1912.0
Neukölln,Sander Strasse,53.0,1050.0,1200.0,2.0,5.0,roof_storey,1910.0
Reinickendorf,Zermatter Stra&szlig;e,46.34,764.0,899.0,2.0,,apartment,1933.0
Wedding,Kolberger Stra&szlig;e,93.0,980.0,1095.0,2.0,3.0,apartment,1900.0
Charlottenburg,Meinekestra&szlig;e,95.68,1387.36,1710.1,2.0,3.0,apartment,1992.0
Schmöckwitz_Köpenick,no_information,90.0,990.0,1215.0,3.0,2.0,apartment,1932.0
Französisch_Buchholz_Pankow,Rupertweg,83.0,890.0,1190.0,3.0,2.0,apartment,2016.0
Wedding,Togostra&szlig;e,49.0,800.0,890.0,2.0,0.0,apartment,1910.0
Wittenau_Reinickendorf,Triftstr.,120.44,1243.79,1688.94,5.0,,roof_storey,1995.0
Neukölln,Heinrich-Schlusnus-Stra&szlig;e,43.88,311.99,478.74,1.0,,apartment,1977.0
Mitte,Krausenstra&szlig;e,59.54,990.0,1200.0,2.0,1.0,apartment,2016.0
