title,price,size,address,link
6 passende Wohneinheiten: 199 Neubau-Wohnungen von 1 bis 4 Zimmern in einem der grünsten Stadtteile Berlins,725 - 1.965 €,"26,55 - 112,82 m²","Biedenkopfer Straße 46-54, 13507 Berlin",https://www.immobilienscout24.dehttps://www.immobilienscout24.de/neubau/comood-gmbh/mytegel/126307.html
"2 passende Wohneinheiten: Naturnah wohnen, Urbanität genießen!",785 - 1.945 €,"36,81 - 129,39 m²","Seegefelder Straße 150, 14612 Falkensee",https://www.immobilienscout24.dehttps://www.immobilienscout24.de/neubau/comood-gmbh/nine-west-living/127713.html
Wunderschönes Studio Loft im JOUX AM TACHELES *** ERSTBEZUG ***,2.150 €,60 m²,"Johannisplatz 5, Mitte (Ortsteil), Berlin",https://www.immobilienscout24.de/expose/159926423
Neubau Erstbezug * 2 Zimmer Wohnung im 3.OG * Balkon * Einbauküche,"1.435,65 €","46,16 m²","Pufendorfstraße 3A-3E, Friedrichshain, Berlin",https://www.immobilienscout24.de/expose/159359666
4 passende Wohneinheiten: Möblierte Wohnungen in Berlin-Charlottenburg,1.261 - 1.411 €,"18,31 - 46,37 m²","Warburgzeile 1, 10585 Berlin",https://www.immobilienscout24.dehttps://www.immobilienscout24.de/neubau/international-campus-gmbh/havens-living-berlin/136905.html
7 passende Wohneinheiten: LAIKA AM TACHELES: Erstklassiges Wohnerlebnis in Bestlage,1.125 - 5.775 €,"28,00 - 128,00 m²","Johannisplatz 3, 10117 Berlin",https://www.immobilienscout24.dehttps://www.immobilienscout24.de/neubau/laika-am-tacheles-gmbh-co-kg/laika-am-tacheles/137883.html
Jetzt verfügbar! Vollmöblierte 1-Zimmer-Wohnung in Bestlage! Anmeldung möglich!,980 €,"24,6 m²","Kreutzigerstraße 14, Friedrichshain, Berlin",https://www.immobilienscout24.de/expose/159628346
55 passende Wohneinheiten: Halske Gärten: Lichtdurchflutetes Wohnen in ruhiger und grüner Lage,850 - 2.630 €,"43,00 - 151,00 m²","Elsa-Neumann-Straße 1, 13629 Berlin",https://www.immobilienscout24.dehttps://www.immobilienscout24.de/neubau/engel-voelkers-berlin-mitte-mmc/halske-gaerten/139080.html
All-Inclusive! Hochwertige 2-Zimmerwohnung im 8. OG am Potsdamer Platz mit Traumblick,1.890 €,44 m²,"Tiergarten, Berlin",https://www.immobilienscout24.de/expose/159418047
All-inklusive-Miete ! Hochwertige 2-Zimerwohnung mit Balkon Nähe Naturkundemuseum in Mitte,1.800 €,53 m²,"Chausseestraße 108, Mitte (Ortsteil), Berlin",https://www.immobilienscout24.de/expose/157048281
Helle und großzügig geschnittene Dachgeschosswohnung,2.058 €,147 m²,"Charlottenburg, Berlin",https://www.immobilienscout24.de/expose/159898900
Geräumige 3-Zimmer-Wohnung mit Südbalkon und Einbauküche zum Erstbezug!,1.385 €,89 m²,"Seegefelder Weg 466, Staaken, Berlin",https://www.immobilienscout24.de/expose/155502520
Home & Co – Easy Living | Möbliertes All-Inclusive Wohnen,829 €,31 m²,"Breite Straße 42 A-B, Schmargendorf, Berlin",https://www.immobilienscout24.de/expose/142518387
